scientific_name,description,plant_care
strelitzia reginae,"The Bird of Paradise plant is a striking, easy to care for plant that enjoys warm, balmy days year-round. The most popular species used as an indoor plant is the Strelitzia Reginae, which has very large, oblong, leathery, paddle-shaped green leaves. It can reach a height of 4'-6' and, on rare occasions after 4-5 years, produce exotic-looking flowers called ""crane fowers"" as they resemble the head of a crane. As an outdoor plant, the Bird of Paradise often flower throughout the year, producing 25-30 spikes that can last for weeks.
The plant is native to South Africa with five main types, some of which, due to their size, should only be grown outdoors as landscape plants.
The Bird of Paradise plant is a slightly poisonous plant and can be toxic to small children, cats, dogs, and other pets.

Sources: 
https://www.houseplant411.com/glossary/poisonous-houseplants-reference-book
https://www.houseplantsexpert.com/bird-of-paradise-plant.html","Light: Bright light, even direct sunlight if placed gradually, allowing the leaves to adapt. 
Water: Spring-Summer: Keep soil moist, but never soggy. During fall and winter, needs less water. Water from the bottom so the soil stays loose and well-aerated.
Fertilizer: Spring-Summer: Feed monthly when acitvely growing with a balanced plant food diluted to 1/2 strength. Do not fertilize in fall and winter, during the resting period.
Temperature: 65°-75°F, 18.3°-23.9°C during the spring, summer, and fall. In the winter, during the resting period, keep the temperature 10°F cooler.
Humidity: Average household humidity.
Soil: Use a well-draining basic potting soil.
Pot: Re-pot once the roots have filled the current pot, moving to the next size and nothing larger. Use a pot with drip holes.
Pruning: Remove any dead or damaged leaves and stems; cut close to the soil.
Propagation: Propagate by plant division.
Poisonous Plant Info: Toxic. Keep away from children and pets.

Sources: 
https://www.houseplant411.com/glossary/poisonous-houseplants-reference-book
https://www.houseplantsexpert.com/bird-of-paradise-plant.html"
asplenium nidus,"The slow-growing Bird’s Nest fern, Asplenium nidus, is so named because when new fronds first appear, they resemble little bird eggs, emerging from a fuzzy, brown, central rosette, or crown. The fronds are long, erect, leathery, and apple-green. These tongue-shaped fronds are fragile, so the plant should be placed in a low-traffic area. It's also important to never get water on the rown or the plant to prevent plant diseases. When mature, the plant forms a compact, vase-like shape with leaves around 24"" wide and 16"" tall.
It  is native to the rain forests of Asia, Africa, and Australia and requires warm temperatures and high humidity to thrive.
The plant is non-toxic.

Source: 
https://www.houseplant411.com/houseplant/birds-nest-fern-how-to-grow-care-guide","Light: Medium, indirect light.
Water: Keep soil barely, moist but never soggy.
Fertilizer: Feed once or twice during the spring and summer, when the plant is actively growing, with balanced plant food diluted to 1/2 the strength.
Temperature: 70°-90°F, 21.1°-32.2°C
Humidity: Requires high humidity. Place the plant on a wet pebble tray; be sure the plant is sitting on pebbles and not in the water.
Soil: Use loose, quick-draining. organic soil.
Pot: Once the roots fill the current pot, re-pot to the next size container and nothing larger. Be sure there are drip holes in the bottom.
Pruning: Doesn't require much pruning. Remove any dying leaves.
Propagation: Propagate using the spores that develop on the backs of the fronts.
Poisonous Plant Info: Non-toxic

Source: 
https://www.houseplant411.com/houseplant/birds-nest-fern-how-to-grow-care-guide"
clerodendrum,"The Bleeding Heart plant, is grown for its masses of beautiful bi-colored flowers, with each white flower made up of an inner group, corolla, of bright red petals. It has twining stems with large attractive dark green leaves and can be planted in a hanging basket or with a trellis in the pot.
The plant is native to tropical west Africa and can grow up to 3 feet in length as a houseplant, and, if planted outside in tropical areas, often reaching 15 feet.
The Bleeding Heart plant is a very poisonous plant and should be kept way from small children and pets. 

Source: 
https://www.houseplant411.com/houseplant/bleeding-heart-plant-how-to-grow-care-guide","Light: Bright, indirect light. No direct sun.
Water: Moist in the spring and summer, but not soggy. When resting in the fall and winter, place in a cool location and water infrequently.
Fertilizer: When the plant is actively growing, feed every two weeks with a balanced fertilizer diluted to 1/2 strength.
Temperature: 55°-60°F, 12.8°C-15.6°C
Humidity: High humidity in the spring and summer and normal household humidity the rest of the year.
Soil: Use a quick-draining, rich organic soil.
Pot: Re-pot every year, during the spring, to the next size pot and never anything larger.
Pruning: Prune long, weak stems in the late fall, after the plant has finished blooming.
Propagation: Propagate from stem tip cuttings in the late spring or summer. 
Poisonous Plant Info: Toxic. Small children, small dogs, and other pets should be kept away from this plant.

Source: 
https://www.houseplant411.com/houseplant/bleeding-heart-plant-how-to-grow-care-guide"
neoregelia carolinae,"The Blushing Bromeliad, Neoregelia Carolinae, a species from the bromeliad family, is one of the most commonly grown species from this genus. The Blushing Bromeliad produces a rosette of leaves with a red center. The most popular variety is the tricolor Blushing Bromeliad.
The plant originates from Brazil and in nature, it grows on trees or on the forest floor, collecting water within the center cup (vase).
It is non-toxic

Source: 
https://www.houseplantsexpert.com/blushing-bromeliad.html","Light: Bright light. A combination of some sun and shade provided throughout the day.
Water: Keep soil slightly moist, but not soaked. Water every 4-6 weeks.
Fertilizer: Once a month, add a diluted liquid fertilizer (half strength) to your misting bottle.
Temperature: 65 - 80ºF, 18 - 27ºC
Humidity: Average to above average humidity.
Soil: A well-draining and loose soil mixture such as: 1 part peat, 1 part bark and 1 part coarse sand or perlit.
Pot: Re-pot only when the plant outgrows the current container. Renew soil each year.
Pruning: Remove unhealthy leaves.
Propagation: Once the plant has flowered the mother plant will begin to die and produce pups. When the pups grow roots or are about a third the size of the mother plant, cut the pups off as close to the mother plant as possible.
Poisonous Plant Info: Non-toxic, but can cause skin irritations and contact dermatitis for some people and pets.

Source: 
https://www.houseplantsexpert.com/blushing-bromeliad.html"
nephrolepis exaltata,"The Boston fern, Nephrolepis exalta, are not difficult to grow, but also need care and attention to flourish.  
As the plant is native to tropical forests and swamp areas around the world, especially prevalent in Florida, Mexico, Africa, Central and South America, and Polynesia, high humidity and keeping the soil barely moist are two keys to success.
The wide-spreading Boston fern has long, arching fronds that can be 2'-3' long and 4""-6"" wide. Each frond has small leaflets (pinnae) on either side of a midrib. These leaflets have slightly serrated edges and a deltoid shape.
It is non-toxic.

Source:
https://www.houseplant411.com/houseplant/boston-fern-how-to-grow-care-guide","Light: Bright, indirect light. Keep the plant out of direct sun.
Water: Allow the top 30% of the soil to dry-out, then water.
Fertilizer: Feed monthly when the plant is actively growing with a balanced, liquid fertilizer diluted to 1/4 to 1/2 strength.
Temperature: 60°-70°F, 15.6°-21.1°C
Humidity: High humidity. Try setting your fern on a wet pebble tray. Be sure the fern is sitting on the pebbles and not in the water. Or use a humidifier in the room.
Soil: Use quick-draining, indoor potting soil mixed with a little extra peat moss.
Pot: Likes to be root-bound. When the plant roots outgrow the current pot, repot to the next size pot, no larger.
Pruning: Cut dead fronds off at the base of the stem as soon as they appear.
Propagation: Propagate by by plant division.
Poisonous Plant Info: Non-toxic

Source:
https://www.houseplant411.com/houseplant/boston-fern-how-to-grow-care-guide"
bougainvillea,"The Bougainvillea plant is popular due to its beautiful clusters of bright, paper-like bracts. The colorful bracts surround the actual flower, which is usually small and white. The bracts emerge from thorny, woody, tropical vines, or branches. Bougainvillea flowers appear on branches 18″-20″ long.
A Bougainvillea plant is native to the rain forests of Brazil, Peru, and southern Argentina. 
The Bougainvillie is a very poisonous plant and should be kept way from small children and pets.

Source:
https://www.houseplant411.com/houseplant/bougainvillea-plant-how-to-grow-care-guide","Light: Requires bright full sun for at least 5-6 hours every day in order to bloom.
Water: Allow the top 50% of the soil to dry out, then water.
Fertilizer: Fertilize monthly, when in bloom, with a special bougainvillea or hibiscus plant food.
Temperature: 70°-85°F, 21°-29.4°C during the day and 60°-70°F, 15.6°-21°C at night
Humidity: High humidity, especially when in bloom.
Soil: Use a quick-draining, loamy soil with lots of organic material.
Pot: Large hanging baskets at least 10""-12"" in size or in 5-10 gallon clay planters.
Pruning: Prune to maintain size, removing branches or limbs.
Propagation: Propagate by stem cuttings.
Poisonous Plant Info: Very poisonous. The sap can cause a rash that resembles posion ivy. Wear protective clothing and gloves. Keep away from small children and dogs.

Source:
https://www.houseplant411.com/houseplant/bougainvillea-plant-how-to-grow-care-guide"
impatiens walleriana,"The Busy Lizzie, Impatiens Walleriana, is a popular houseplant within the UK and US. They are grown for their attractive blooms both outdoors and indoors.
The Busy Lizzie requires enough bright light and the correct temperatures to flourish. The maximum growth is approximately 24"" in height. 
The plant originiates from East Africa.
It is non-toxic to cats and dogs.

Source:
https://www.houseplantsexpert.com/busy-lizzie.html","Light: Bright light during winter. Avoid direct sun light during summer.
Water: Keep the soil moist at all times, but not soggy.
Fertilizer: Feed monthly with a balanced liquid fertilizer during spring and summer
Temperature: 65°-75°F, 18.3°-23.8°C
Humidity: Average humidity.
Soil: A well draining potting soil mix.
Pot: Likes small pots. Re-pot during spring if the plant has become pot bound.
Pruning: Pinch stem tips. Once or twice, beginning first in mid-summer, cut back the entire plant by four to six inches if it is leggy.
Propagation: Propagate by stem cuttings or seed.
Poisonous Plant Info: Non-toxic

Source:
https://www.houseplantsexpert.com/busy-lizzie.html"
aechmea fasciata,"A Urn plant, Aechmea fasciata, is an easy care flowering plant, the most popular bromeliad from the Aechmea genus for growing indoors. 
It has thick, arching, gray-green leaves that are arranged in a circular fashion, forming an upturned waxy cup in the center. This central cup acts s a reservoir and collects water and nutrients. After 3-4 years, the plant produces a tall flower stalk, a large flower head with numerous pink bracts, that can last from mid-summer until early-winter.
The Urn plant is native to Brazil.
It is on-toxic to cats and dogs.

Sources: 
https://www.houseplant411.com/houseplant/bromeliad-plant-how-to-grow-care-guide
https://www.houseplantsexpert.com/urn-plant.html","Light: Very bright light in order to flower. Once pink bracts appear, move to lower light.
Water: Keep the flower's cup filled with fresh water, replacing weekly. Allow the top .5"" of soil to dry out, then dampen. Never allow soil to totally dry out.
Fertilizer: Feed monthly in the spring, summer, and fall with a liquid plant food diluted to 1/2 strength. During winter, fertilize a every other month.
Temperature: 60°-75°F, 17°- 24°C
Humidity: Moderate humidity.
Soil: Use a bromeliad or orchid potting soil. Or use equal parts leaf mold, peat moss, and coarse sand or equal parts fir bark, peat moss, and sharp sand or perlite.
Pot: Young and growing: re-pot in a slightly bigger container. Mature: replace the soil once very 2 years, without re-potting.
Pruning: Remove unhealthy leaves.
Propagation: Once the plant has flowered the mother plant will begin to die and produce pups. When the pups grow roots or are about a third the size of the mother plant, cut the pups off as close to the mother plant as possible.
Poisonous Plant Info: Non-toxic, but can cause skin irritations and contact dermatitis for some people and pets.

Sources: 
https://www.houseplant411.com/houseplant/bromeliad-plant-how-to-grow-care-guide
https://www.houseplantsexpert.com/urn-plant.html"
bromeliaceae,"The Bromeliad is an easy care plant with over 2500 species, native to North, Central and South America. As an indoor houseplant, a bromeliad only blooms once, then it is necessary to propagate a new plant using offsets. The leaves are long, thin, green, and leathery. The brightly colored flowers are actually bracts and can range in color from red to yellow to even deep purple.
The plant is considered non-toxic, but can cause skin irritations and contact dermatitis for some people and pets.

Source: 
https://www.houseplant411.com/houseplant/bromeliad-plant-guzmania-how-to-grow-care-guide","Light: Adaptable to all types of light. Think green leaved bromeliads survive in low light. Thick gray leaved bromeliads need medium light.
Water: Water infrequently as the succulent like dry soil.
Fertilizer: Feed a bromeliad plant by spraying a liquid fertilizer directly onto the leaves a few times each season. Dilute the plant food 1/2 to 1/4 strength.
Temperature: Can survive between 40°-100°F, 4.4°-37.8°C, but prefer 70°-75°F, 21.1°- 23.9°C during the day and ten degrees, Farenheit, cooler at night
Humidity: Average humidity.
Soil: Use a light, well-aerated, fast-draining soil.
Pot: Young and Immature: In spring, when the plant outgrows the current pot, move to the next size container. Mature: after 3 or 4 years, when a bromeliad has reached maturity, it is usually in an 8’ pot. They like to be root-bound in small pots; don’t rush to put them into a larger container.
Pruning: Rarely needs pruning. Trim brown leaf tips with a sharp, wet scissors
Propagation: Once the plant has flowered the mother plant will begin to die and produce pups. When the pups grow roots or are about a third the size of the mother plant, cut the pups off as close to the mother plant as possible.
Poisonous Plant Info: Non-toxic, but can cause skin irritations and contact dermatitis for some people and pets.

Source: 
https://www.houseplant411.com/houseplant/bromeliad-plant-guzmania-how-to-grow-care-guide"
cereus peruvianus monstrosis,"The Cactus plant is an easy care indoor or outdoor plant, most of which are actually succulents that adapted to desert climates, with thick, fleshy, waxy stems that help retain water, withstanding long periods of drought. The leaves of a catus becomes spines that protect it from birds and other animals; the spines grow out of areoles like leaf nodes found on other plants. 
They are non-toxic.

Source: 
https://www.houseplant411.com/houseplant/cactus-plant-how-to-grow-care-guide","Light: Bright, indirect light.
Water: Winter: Allow the soil to almost dry out, then water. Spring-Fall: requires more water than in the winter.
Fertilizer: Fertilize monthly in the late spring and summer, when actively growing, with a fertilizer low in nitrogen and high in potassium diluted to 1/4 strength. Do not fertilize during the rest of the year. 
Temperature: 60°-80°F, 15.6°-26.7°C
Humidity: Does well in low humidity.
Soil: Use a fast-draining, porous, sandy soil. You can purchase a special cactus or succulent plant soil or make your own.
Pot: Vertical catus: use a pot with a diameter that is 1/2 the height of the plant. Horizontal cactus: use a pot that has a diameter 2"" larger than the width of the plant.
Pruning: Remove dead foliage and spent flower stems.
Propagation: Propagate by offsets or stem cuttings, in the spring or summer. Let cuttings dry out for a few days to a few weeks, depending on the size, before planting in a peat-based soil.
Poisonous Plant Info: Non-toxic

Source: 
https://www.houseplant411.com/houseplant/cactus-plant-how-to-grow-care-guide"
caladium,"A Caladium plant, or Elephant Ear plant, are tuberous, bulb plant perennials that are grown for their large, paper-thin, heart-shaped, colorful leaves. The leaves of caladium plants, can grow as long as 24 inches, and have marbled, spotted, or veined patterns in various colors. These plants need high humidity to keep their leaves from curling.
They originated from South America. 
These plants are considered poisonous and should be kept away from pets and children.

Source: 
https://www.houseplant411.com/houseplant/caladium-plant-how-to-grow-care-guide","Light: Very bright, indirect light. No direct sun.
Water: Growing season: keep soil moist, but never soggy. Dormant and resting period: gradually reduce the water until the soil has thoroughly dried out.
Fertilizer: Feed every two weeks when actively growing with a water-soluble plant food, high in nitrogen, diluted to at 1/2 strength. 
Temperature: 70°-85°F, 21.1°-29.4°C
Humidity: High humidity. Place on a pebble tray with water, taking care that the plant doesn't sit in the water. Use a humidifier in the room.
Soil: Likes a slightly acidic, fast-draining soil.
Pot: Plant in a 4""-6"" pot that has drip holes in the bottom. 
Pruning: Prune caladium plants every 2-3 weeks, removing all damaged or dead leaves.
Propagation: Propagate by digging up and dividing the calathea plant tubers, and planting the tubers in a small pot of loose soil.
Poisonous Plant Info: Very poisonous. Keep away from small children and dogs.

Source: 
https://www.houseplant411.com/houseplant/caladium-plant-how-to-grow-care-guide"
"calathea ornata lineata","The Striped Calathea “ornata” is grown for its large, oval, distinctly patterned, and vibrantly colored striped leaves that grow at the end of long stem.
The plant requires quite a bit of care to stay looking good, especially needing bright indirect light and high humidity. Indoors, a calathea plant rarely grows larger than about 2' wide and 2' tall.
Calathea plants are native to Africa, the West Indies, and Central and South America.
They are non-toxic.

Source: 
https://www.houseplant411.com/houseplant/calathea-plant-ornata-how-to-grow-care-guide","Light: Bright, indirect light. Too much direct sun burns the leaves and causes color fading.
Water: Calathea plants are very sensitive to the water you use. Use distilled water, rain water, or leave out tap water overnight before using. Keep soil barely moist, but nevver soggy. Allow the top 2""-3"" to dry out before watering. Never allow the plant to sit in the excess water.
Fertilizer: Only feed a Calathea plant during active growth in the spring, summer, and fall with a balanced plant food diluted to 1/2 strength.
Temperature: 55°-60°F, 12.8°-15.6°C
Humidity: High humidity: place your plant on a tray of wet pebbles, making sure that the pot is on the pebbles and not in the water, set a humidifier close by, or group plants together to create a greenhouse effect.
Soil: Use a quick-draining, light, porous indoor potting soil that retains water.
Pot: Rarely needs re-potting. When the roots have filled the current pot, move the plant to the next size pot.
Pruning: Cut off the brown or crispy leaves as soon as they appear.
Propagation: Propagate by plant division; it is a difficult process and not always successful.
Poisonous Plant Info: Non-toxic

Source: 
https://www.houseplant411.com/houseplant/calathea-plant-ornata-how-to-grow-care-guide"
zantedeschia aethiopica,"The Calla Lily plant is a beautiful plant grown both outdoors or indoors, producing funnel or trumpet shaped waxy flowers on tall thick stems; the flowers have a yellow spadix emerging from their center. The Calla Lily;s long tapered green leaves of the plant may be streaked with faint white or yellow spots.
The plant is native to the marshes of South Africa, and is not really a lily at all, but a member of the Araceae family. 
It is a poisonous plant and should be kept way from small children and pets. 

Sources: 
https://www.houseplant411.com/houseplant/calla-lily-plant-how-to-grow-care-guide
https://www.houseplantsexpert.com/growing-calla-lilly-plants-indoors-and-care.htmlgoing back to a regular fertilization program.RESTING","Light: Requires at least six hours a day of very bright, indirect light. Avoid direct sun.
Water: Keep the soil moist but not soaked; Never let it sit in water more than 15 minutes.
Fertilizer: Growing and Flowering Period: Once leaves appear, feed once every two weeks with a low nitrogen diluted liquid fertilizer at 1/2 strength. When producing only leaves and no flowers, fertilize monthly.
Temperature: 50°-75°F, 10°-24°C
Humidity: Average room humidity (around 40% relative humidity).
Soil: Use a good peat moss based potting soil that is quick-draining and well aerated.
Pot: Dormant period: Bulbs can be removed from their pots and stored in a cool dark location. After 2-3 months of rest, plant the Calla Lily rhizomes (bulbs) in a deep, clean pot with fresh rich soil. Plant one bulb in a five-or six-inch pot, or two or three bulbs in an eight-inch pot, deeply enough so that the rhizomes are covered by at least twice the height of the bulb. 
Pruning: Rest Period: Prune stalks once flowering is over. Remove dead foliage once the bulb is dormant.
Propagation: Propagated by seed and plant division.
Poisonous Plant Info: Very toxic. Keep away from small children and pets. The plant contains high levels of calcium oxalate. Ingestion may cause severe burning and swelling of the mouth, throat, lips, and tongue as well as gastrointestinal distress.

Sources: 
https://www.houseplant411.com/houseplant/calla-lily-plant-how-to-grow-care-guide
https://www.houseplantsexpert.com/growing-calla-lilly-plants-indoors-and-care.htmlgoing back to a regular fertilization program.RESTING"
aspidistra elatior,"The almost-indestructible Cast Iron Plant is an easy to care for plant that is good for beginners and someone with a ""brown thumb"", or if you want to put a plant in a low light area. The Cast Iron Plant has long, lancet-shaped, pointed, leathery leaves that emerge from the soil. The leaves are over a foot long and 5"" wide, with each leaf growing on its own stem. As an indoor houseplant, it rarely blooms, but, planted outdoors, can produce purple and white flowers at the base of the plant.
The plant is native to China, Japan, and Taiwan.
It is non-toxic.

Source: 
https://www.houseplant411.com/houseplant/cast-iron-plant-how-to-grow-care-guide","Light: Any low-light to bright, filtered light.
Water: Allow the top 50% of the soil to dry out, then water. Do not overwater. In low light, water only every 2-3 weeks.
Fertilizer: Feed monthly during active growth with a balanced plant food diluted to 1/2 strength.
Temperature: 50°-75°F, 10°-23.9°C
Humidity: Average household humidity.
Soil: Use a rich organic indoor potting soil such as an African Violet mix.
Pot: Re-pot once the roots start growing out of the soil into a slightly larger pot.
Pruning: Rarely needs pruing.
Propagation: Propagate by plant division. 
Poisonous Plant Info: Non-toxic

Source: 
https://www.houseplant411.com/houseplant/cast-iron-plant-how-to-grow-care-guide"
"chamaedorea cataractarum","The Cat Palm, Chamaedorea cataractarum, is a compact, bushy houseplant that doesn't have a trunk, like other indoor plants. It has bright green pinnate (feathery) leaves that grow off of thin shoots, in clumps. The leaves are made up of leaflets that can be 1ft (30cm) long and 1” (2.5cm) wide. 
The Cat Palm is native to southeastern Mexico and resemble the inexpensive Areca Palm and the very pricey Kentia Palm.
In its native environment, a cat palm can grow as tall as 6ft (1.8m) and have a width up to 8ft (2.4m). As indoor houseplants, a cat palm grows slowly, eventually reaching a height of about 4-6ft (1.22m-1.8m).
It is non-toxic.

Source: 
https://www.houseplant411.com/houseplant/cat-palm-how-to-grow-care-guide","Light: Bright, indirect light. No direct sun.
Water: Keep the soil moist, but not soggy, at all times.
Fertilizer: Spring-Summer: feed monthly when actively growing with balanced plant food diluted to 1/2 strength. Feed only once or twice during fall and winter. 
Temperature: 70-80°F, 21.1°-26.7°C during the day and no lower than 45°F, 7.2°C at night
Humidity: 55% or higher. Use a pebble tray and water to increase humidity or place a small humidifier in the room or group plants together to create a greenhouse effect.
Soil: Use a quick-draining, loose potting soil. Add some peat moss or sand if the soil is heavy and clay-like.
Pot: Likes to be root-bound. Only move to a pot one size larger once the plant has outgrown the current container. Make sure it has drip holes.
Pruning: Immediately prune any yellow or brown fronds that appear.
Propagation: Propagate by seeds or offsets growing sideways off the root ball.
Poisonous Plant Info: Non-toxic.

Source: 
https://www.houseplant411.com/houseplant/cat-palm-how-to-grow-care-guide"
radermachera sinica,"The China Doll, Radermachera sinica, is a very fast growing plant that requires frequent pruning to keep full and bushy. Its green foliage is lacy and glossy, as it is native to the subtropical mounta regions of Southern China and Taiwan. Though the plant appears compact and sturdy when first bought, it can soon become open and feathery. Prune frequently to keep its shape.
The plant is non-toxic. 

Source: 
https://www.houseplant411.com/houseplant/china-doll-plant-how-to-grow-care-guide","Light: Very bright light. 
Water: Allow the top 50% of the soil to dry, then water.
Fertilizer: Spring-Summer: feed monthly while actively growing with a balanced fertilizer at 1/2 strength; Fall-Winter: feed very other month.
Temperature: 65°-75°F, 18°-24°C
Humidity: Average humidity.
Soil: Use a quick-draining, rich, well-aerated soil. Add sand or perlite to loosen if compacted.
Pruning: Keep well-pruned at all times, otherwise the plant becomes leggy and thin. Always allow a few leaves to remain on each stem to produce food for the roots.
Propagation: Propagated by stem cuttings.
Poisonous Plant Info: Non-toxic

Source: 
https://www.houseplant411.com/houseplant/china-doll-plant-how-to-grow-care-guide"
aglaonema,"The Chinese evergreen plant, Aglaonema, is an easy to grow upright plant that can start as a desk plant, becoming a bushy floor plant as it matures. There are many varieties of this popular houseplant, with different leaf colors and patterns. All the leaves are shiny, oval, leathery, and have short stems. The leaves are 3″-5″ wide and up to12″ long. It grows slowly, in lower light areas, and is drought tolerant.
The plant originates from the subtropics of Southeast Asia and is a member of the Araceae family.
The Chinese evergreen is poisonous due to the calcium oxalate crystals in the plant, which cause swelling and irritation of the mouth, lips, throat, and tongue, when ingested. Keep away from children and pets.

Source: 
https://www.houseplant411.com/houseplant/chinese-evergreen-plant-how-to-grow-care-guide","Light: Low - medium light
Water: Allow the top 25-30% of the soil to dry out, then water. 
Fertilizer: Feed every other month with balanced plant food diluted to 1/4 strength
Temperature: Temperatures below 50°F, 10° C may damage the leaves
Humidity: Average to high household humidity.
Soil: Use a quick-draining, well-aerated houseplant potting mix.
Pot: Keep a little root-bound in a small pot so that the soil can dry out quickly.
Pruning: Prune thin and leggy stems back to where they start to bend.
Propagation: Propagate by stem cuttings and plant division.
Poisonous Plant Info: Poisonous due to the calcium oxalate crystals in the plant, which cause swelling and irritation of the mouth, lips, throat, and tongue, when ingested. Keep away from children and pets.

Source: 
https://www.houseplant411.com/houseplant/chinese-evergreen-plant-how-to-grow-care-guide"
schlumbergera bridgesii,"The Christmas Cactus plant is one of the most popular flowering houseplants sold during the Thanksgiving and Christmas holiday seasons. It is an easy care flowering plant that can live for 100 years.
All plant varieties have stems that look like small, thick, succulent, leaf-like pads that are attached to each other. All produce colorful flowers around the holiday they are named for (Thanksgiving Cactus (Schlumgera truncate), the Christmas Cactus (Schlumgera bridgesti, and the Easter Cactus (Rhipsalidopsis gaertnerrii).
The Christmas Cactus plant is actually a type of epiphyte in its native environment. (Epiphytes are plants that grow on other plants, trees, and even rocks, in shady areas with high humidity.)
The plant is non-toxic.

Source: 
https://www.houseplant411.com/houseplant/christmas-cactus-plant-how-to-grow-care-guide","Light: Bright, indirect light. No direct sun.
Water: Allow the top 50% of the soil to dry out before watering.
Fertilizer: Feed every two weeks in the spring and summer with a liquid plant food diluted to 1/2 strength. Never feed a Christmas cactus after September.
Temperature: 60°-65°F, 16°-18°C
Humidity: High humidity is preferred. but can grow well in normal household humidity.
Soil: Use a well-draining, rich acidic soil.
Pot: Like to be slightly root-bound in smaller pots. Re-pot, if needed, every few years, never when in bloom.
Pruning: Prune about a month after it has finished blooming.
Propagation: Propagate by stem cuttings during the spring.
Poisonous Plant Info: Non-toxic.

Source: 
https://www.houseplant411.com/houseplant/christmas-cactus-plant-how-to-grow-care-guide"
chrysanthemum,"The Chrysanthemum, or mum for short, is actually an outdoor plant that has become a popular floral gift. As a cut flower, it is the second-most popular flower, with the rose as the most popular.
The mum blooms come in various shapes and colors and can be daisy-like, pom-poms, or buttons, and may be yellow, burgundy, pink, or white. 
The blooms last 3-4 weeks indoors with very little care and in almost any environment before needing to be replaced.  
A Chrysanthemum is considered to be a slightly poisonous plant and should be kept way from small children and pets.

Source: 
https://www.houseplant411.com/houseplant/chrysanthemum-plant-how-to-grow-care-guide","Light: Place in medium light and away from heating vents, air conditioners, and direct sun.
Water: Allow the top few inches of soil to dry out slightly, then water.
Fertilizer: 
Temperature: 70°F, 21°C during the day and not below 60° F, 15.5°C at night
Humidity: Grow better in high humidity, but will do fine in basic household humidity.
Soil: Use a rich fast-draining slightly acidic soil.
Pot: Usually come in 4"" and 6"" pots.
Pruning: Remove flowers as soon as they start to fade or die.
Propagation: A florist Mum should be thrown out after it has finished blooming. Once a garden Mum has finished blooming indoors, it can be planted outdoors.
Poisonous Plant Info: They are toxic to dogs, cats, and horses. Mums contain Sesquiterpene, lactones, pyrethrins and other potential irritants that can cause vomiting, diarrhea, hypersalivation, incoordination, and skin problems. Keep away from children and pets.

Source: 
https://www.houseplant411.com/houseplant/chrysanthemum-plant-how-to-grow-care-guide"
pericallis cruenta,"The Cineraria plant is a small, beautiful perennial flowering plant with tight bunches of petite daisy like flowers surrounded by large dark green leaves. 
The flowers colors range from white, red, blue, and purple. Each flower has an ""eye"" in the middle that is surrouned by a small white ring. The maximum height for the plant is 15-20 inches. Once the flowers of a Cineraria plant die, it’s time to throw it out or plant it outside.
A Cineraria plant is a very poisonous plant and should be kept way from small children and pets.

Source: 
https://www.houseplant411.com/houseplant/cineraria-plant-how-to-grow-care-guide","Light: Bright, indirect light. No direct sun.
Water: Keep moist but never soggy. Always allow the top inch or two of soil to dry out, then water.
Fertilizer: Feed a Cineraria Plant in April with a water-soluble plant food high in phosphorous at 1/2 strength.
Temperature: 55°-65°F (12.8°-18.3°C) during the day and 45°-55°F (7.2°-12.8°C) at night.
Humidity: Average household humidity.
Soil: Use quick-draining, well-aerated, loose potting soil that has a lot of peat moss in it.
Pot: Usually found in 4"" and 6"" pots.
Pruning: Quickly removing dead leaves and flowers.
Propagation: Propagate by seeds.
Poisonous Plant Info: Toxic. Keep away from small children and pets.

Source: 
https://www.houseplant411.com/houseplant/cineraria-plant-how-to-grow-care-guide"
"clivia miniata","The Kaffir Lily is an easy to care for flowering plant that is a close relative of the Amaryllis. 
The Kaffir Lily have long, thick, dark-green leaves growing out of a large plant bulb. Its trumpet or lily-shaped flowers appear as a dense cluster of 15-20 small blooms at the end of a long stem and are 2″-3″ in size, and can be orange, orange/red, yellow, or cream colored.
The plant originates from South Africa.
The Clivia plant is a very poisonous plant and should be kept way from small children and pets.

Sources: 
https://www.houseplant411.com/houseplant/clivia-plant-how-to-grow-care-guide
https://www.houseplantsexpert.com/kaffir-lily.html","Light: Bright, indirect light. No direct sun.
Water: Spring and Summer: water well and then allow the top 50% of the soil to dry out, then water again. Fall: reduce watering, Winter: allow the soil dry out before watering. 
Fertilizer: After blooming is finished, usually in the early summer, feed monthly with a balanced indoor plant food diluted to 1/2 strength. Never fertilize during the 4-6 weeks in the winter during the resting period. After the resting period, feed with a fertilizer high in potassium.
Temperature: Spring-Early Fall: 65°-70°F, 18.3°-21.1°C. November-February, during the resting period: 50°-55°F, 10°-12.8°C.
Humidity: Average household humidity.
Soil: Use a fast -draining soil that has a lot of peat moss and some sand in it.
Pot: Blooms best when root-bound in a small pot. Repot every three or four years with a heavy pot.
Pruning: Needs little or no pruning. Cut off any dying flowers at the base of their stalk as soon as they appear.
Propagation: Easily propagate by plant division and offsets.
Poisonous Plant Info: Very poisonous. Keep out of reach of small children and pets.

Sources: 
https://www.houseplant411.com/houseplant/clivia-plant-how-to-grow-care-guide
https://www.houseplantsexpert.com/kaffir-lily.html"
